,,DHAK_HAK,DHAK_HAJ,DHAK_HAH,DHAK_HAG,DHAK_HAE,DHAK_HAD,DHAK_HAB,DHAK_HAL,DHAK_HAM,DHAK_HAN,DHAK_HAO,DHAK_HAP,DHAK_HAT,DHAK_HA,DHAK_HAA,DHAK_HD,DHAK_HC,DHAK_HN,DHAK_HO,DHAK_HL,DHAK_HM,DHAK_HK,DHAK_HG,DHAK_HE,DHAK_HF,DHAK_HCU,DHAK_HCV,DHAK_HCQ,DHAK_HCR,DHAK_HCT,DHAK_HCM,DHAK_HCO,DHAK_HCP,DHAK_HB,DHAK_HU,DHAK_HT,DHAK_HQ,DHAK_HP,DHAK_HR,DHAK_HDE,DHAK_HDA,DHAK_HDD,DHAK_HDC,DHAK_HCW,DHAK_HCZ,DHAK_HCD,DHAK_HCB,DHAK_HCJ,DHAK_HCI,DHAK_HCK,DHAK_HBH,DHAK_HAZ,DHAK_HBE,DHAK_HBK,DHAK_HBI,DHAK_HBJ,DHAK_HBV
k20,UNINTEGRATED|g__Dorea.s__Dorea_longicatena,0.024508178,0.009021136,0.025487794,4.80E-11,4.80E-11,0.040949941,0.030622126,0.031445002,0.00706418,0.385612981,4.80E-11,0.021878401,0.00924729,4.80E-11,4.80E-11,0.018569679,0.006609651,0.024577969,0.018550937,0.015993077,0.028870353,0.012420502,4.80E-11,4.80E-11,4.80E-11,4.80E-11,4.80E-11,4.80E-11,0.042641473,4.80E-11,4.80E-11,4.80E-11,4.80E-11,0.030778247,0.014524545,0.015858137,0.015138255,0.018179024,4.80E-11,0.011505361,4.80E-11,4.80E-11,0.013357632,0.017079081,0.035857058,0.008889977,0.011917747,0.026695074,4.80E-11,4.80E-11,0.007184782,0.002879211,4.80E-11,0.0160852,4.80E-11,4.80E-11,4.80E-11
k21,UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens,0.019643702,0.030376945,0.013500663,0.021113496,0.009246209,5.22E-11,0.051476699,0.01718887,0.030002193,0.003109245,0.11751263,0.018343214,0.007411751,0.004827622,0.028318331,0.014270459,0.005383156,0.00698387,0.175905552,0.008293269,0.009463347,0.010019688,0.071252442,0.007378083,0.003519595,5.22E-11,5.22E-11,0.004503947,0.008649284,0.007239579,5.22E-11,5.22E-11,5.22E-11,0.018285799,0.011729428,0.046862317,0.02658668,0.020827226,0.012800207,0.079339669,5.22E-11,5.22E-11,0.021938294,0.004554316,0.012384648,0.013042477,0.011067992,0.005802826,0.004442747,5.22E-11,5.22E-11,5.22E-11,5.22E-11,5.22E-11,5.22E-11,5.22E-11,0.005401533
k22,UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae,0.010621875,0.041265999,0.014134743,0.021797345,3.50E-11,3.50E-11,0.013065666,0.005136377,3.50E-11,0.219678695,0.030409062,0.014125403,0.010482353,0.032304374,0.026939354,0.020625931,3.50E-11,3.50E-11,3.50E-11,0.042157416,3.50E-11,0.039143624,0.02850994,0.033640847,0.036977908,3.50E-11,3.50E-11,3.50E-11,3.50E-11,3.50E-11,3.50E-11,3.50E-11,0.042573109,0.038339862,0.018960333,0.018572144,0.040771811,3.50E-11,0.066104171,3.50E-11,3.50E-11,3.50E-11,3.50E-11,3.50E-11,0.027390138,3.50E-11,0.031947374,3.50E-11,0.047110743,3.50E-11,3.50E-11,3.50E-11,3.50E-11,0.004319794,3.50E-11,0.022893608,3.50E-11
k23,UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus,0.214270063,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,0.195658269,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,0.110894196,7.64E-10,7.64E-10,0.479177432,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10,7.64E-10
k24,UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus,0.200832001,8.86E-10,8.86E-10,8.86E-10,8.86E-10,0.215036324,8.86E-10,0.098510845,0.064355215,8.86E-10,0.09576198,8.86E-10,0.031053166,8.86E-10,8.86E-10,0.143312282,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,0.043356204,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,0.056846732,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10,0.05093521,8.86E-10,8.86E-10,8.86E-10,8.86E-10,8.86E-10
k25,UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii,0.105877178,4.69E-10,4.69E-10,0.083800886,4.69E-10,4.69E-10,0.036634358,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,0.018309587,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,0.227842408,4.69E-10,0.042247308,0.063373554,0.255225785,4.69E-10,0.115099151,0.025092292,4.69E-10,4.69E-10,4.69E-10,4.69E-10,4.69E-10,0.026497471,4.69E-10,4.69E-10,4.69E-10
k26,UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii,0.005312622,0.018714035,3.53E-11,0.011913386,0.015637535,0.02173366,0.024434172,0.002166088,0.087341199,0.0044983,3.53E-11,3.53E-11,3.53E-11,3.53E-11,0.00296115,3.53E-11,3.53E-11,3.53E-11,3.53E-11,0.003143437,3.53E-11,0.003070773,3.53E-11,3.53E-11,3.53E-11,3.53E-11,0.005500543,3.53E-11,0.004511034,0.003277448,3.53E-11,0.005594766,3.53E-11,0.036482615,3.53E-11,0.011951479,3.53E-11,3.53E-11,3.53E-11,0.045925754,0.012249875,0.0201603,0.023093363,0.049920872,0.236082836,3.53E-11,0.004596309,0.005522249,0.028678475,0.013557628,3.53E-11,3.53E-11,3.53E-11,0.15248536,0.006367762,0.107550201,0.025564775
k27,UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis,0.99999962,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09,6.79E-09
k28,UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai,0.015423722,0.009276997,1.08E-10,0.007736968,1.08E-10,1.08E-10,1.08E-10,0.022470787,0.012578512,1.08E-10,0.018038385,1.08E-10,0.006945683,0.008682858,1.08E-10,0.64941061,1.08E-10,0.017212771,1.08E-10,0.018171248,1.08E-10,0.033304138,1.08E-10,0.008821929,0.020553237,1.08E-10,1.08E-10,1.08E-10,0.008290615,1.08E-10,1.08E-10,1.08E-10,0.010958583,1.08E-10,0.021886213,0.018578139,1.08E-10,0.010617762,0.022793755,1.08E-10,0.017893831,1.08E-10,1.08E-10,1.08E-10,1.08E-10,1.08E-10,1.08E-10,0.003751906,0.024103931,1.08E-10,1.08E-10,1.08E-10,1.08E-10,0.006620817,1.08E-10,1.08E-10,0.0058766
k29,UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens,0.008040941,0.016657789,0.009739964,0.006848144,6.03E-11,6.03E-11,6.03E-11,0.014595975,0.071123791,0.003230735,0.108512148,0.004125641,6.03E-11,0.010386483,6.03E-11,0.009491272,6.03E-11,6.03E-11,6.03E-11,0.002628653,6.03E-11,6.03E-11,6.03E-11,0.015458893,0.031084095,0.018329988,0.005071402,6.03E-11,6.03E-11,0.011458836,0.003758716,0.005351338,0.016311462,0.013171729,0.008441595,0.007903336,0.007197251,6.03E-11,6.03E-11,0.070745063,6.03E-11,6.03E-11,0.265291805,0.014569397,0.008533774,0.009792901,6.03E-11,6.03E-11,0.042366395,0.100020386,6.03E-11,6.03E-11,6.03E-11,0.036565469,0.041439249,6.03E-11,0.001755382
k30,UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis,0.007993122,6.91E-11,0.102034054,6.91E-11,6.91E-11,6.91E-11,0.042482028,0.012034814,0.018600178,0.085926257,0.014113694,0.094296472,6.91E-11,0.007376352,6.91E-11,6.91E-11,6.91E-11,0.014315043,0.02227121,0.010507756,0.004172605,0.010054589,6.91E-11,0.006445289,6.91E-11,0.004055208,0.074757233,6.91E-11,6.91E-11,0.280480177,6.91E-11,0.055152494,6.91E-11,6.91E-11,6.91E-11,0.003603642,0.010039839,0.013068826,6.91E-11,0.024799729,6.91E-11,6.91E-11,6.91E-11,6.91E-11,6.91E-11,6.91E-11,6.91E-11,6.91E-11,0.011909186,6.91E-11,6.91E-11,0.03857438,0.027259203,6.91E-11,0.003676617,6.91E-11,6.91E-11
k31,UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii,0.197404686,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,0.22596514,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,0.576630043,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09,2.40E-09
k32,UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens,0.007969853,1.51E-10,1.51E-10,0.242617231,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,0.099848924,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,0.342743473,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,0.271302223,1.51E-10,0.035518289,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10,1.51E-10
